,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
1226,1227,1227,white,age.gp4,NoTr,NoTrade,NoGroup,6,0,2,0,4,0,6,0,4,2,1,5,3,3
1562,1563,1563,white,age.gp4,Tr,NoTrade,Group,8,2,3,1,2,1,5,2,4,4,0,8,4,4
1731,1732,1732,white,age.gp3,Tr,NoTrade,Group,24,2,12,4,6,2,21,1,10,14,3,21,18,6
1907,1908,1908,other,age.gp2,NoTr,NoTrade,NoGroup,4,1,2,1,0,1,3,0,1,3,0,4,3,1
2029,2030,2030,white,age.gp4,Tr,NoTrade,Group,10,1,4,0,5,1,9,0,3,7,0,10,7,3
2058,2059,2059,white,age.gp4,Tr,NoTrade,Group,16,1,4,2,9,1,14,1,7,9,2,14,11,5
2290,2291,2291,other,age.gp2,Tr,NoTrade,Group,13,0,8,3,2,0,13,0,8,5,0,13,11,2
2305,2306,2306,white,age.gp2,NoTr,NoTrade,NoGroup,12,0,5,5,2,1,10,1,4,8,1,11,10,2
2416,2417,2417,white,age.gp3,NoTr,Trade,Group,24,4,6,8,6,0,23,1,8,16,2,22,16,8
2645,2646,2646,white,age.gp1,NoTr,NoTrade,NoGroup,8,6,1,1,0,0,8,0,2,6,1,7,4,4
2658,2659,2659,white,age.gp2,NoTr,NoTrade,Group,24,1,14,6,3,2,20,2,13,11,1,23,16,8
2809,2810,2810,other,age.gp2,NoTr,NoTrade,NoGroup,3,0,2,0,1,0,3,0,3,0,0,3,3,0
2819,2820,2820,other,age.gp2,NoTr,NoTrade,NoGroup,6,0,4,2,0,0,6,0,3,3,0,6,5,1
2879,2880,2880,white,age.gp2,NoTr,NoTrade,NoGroup,14,0,10,3,1,2,11,1,10,4,1,13,13,1
52,53,53,white,age.gp2,Tr,NoTrade,Group,20,1,7,7,5,2,16,2,7,13,4,16,16,4
470,471,471,black,age.gp3,NoTr,Trade,Group,18,0,6,5,7,10,7,1,6,12,1,17,12,6
711,712,712,white,age.gp2,Tr,NoTrade,Group,17,1,7,8,1,2,14,1,7,10,3,14,10,7
768,769,769,white,age.gp4,NoTr,NoTrade,NoGroup,8,0,3,1,4,1,7,0,1,7,1,7,7,1
857,858,858,other,age.gp2,Tr,NoTrade,Group,10,0,7,1,2,2,8,0,4,6,1,9,4,6
