,Unnamed: 0,node,ethcat,agecat,treat,Trade_sex,Group_sex,degree,age.gp1,age.gp2,age.gp3,age.gp4,black,white,other,Tr,NoTr,Trade,NoTrade,Group,NoGroup
962,963,963,black,age.gp2,NoTr,NoTrade,Group,21,2,7,8,4,9,11,1,5,16,1,20,11,10
1102,1103,1103,black,age.gp2,NoTr,NoTrade,NoGroup,6,0,4,0,2,1,5,0,3,3,1,5,5,1
2453,2454,2454,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,3,0,4,1,6,0,4,3,1,6,6,1
2572,2573,2573,white,age.gp4,NoTr,NoTrade,Group,15,1,6,3,5,1,13,1,7,8,1,14,12,3
2683,2684,2684,black,age.gp3,NoTr,NoTrade,NoGroup,7,1,2,0,4,1,5,1,4,3,0,7,4,3
2781,2782,2782,white,age.gp3,NoTr,NoTrade,Group,13,1,7,1,4,0,13,0,9,4,1,12,7,6
310,311,311,white,age.gp4,NoTr,NoTrade,Group,10,1,2,2,5,0,9,1,6,4,0,10,9,1
358,359,359,black,age.gp4,NoTr,NoTrade,NoGroup,8,1,3,0,4,3,5,0,3,5,2,6,6,2
407,408,408,white,age.gp2,Tr,Trade,Group,18,4,10,2,2,1,15,2,6,12,1,17,10,8
535,536,536,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,2,0,2,0,4,0,3,1,0,4,4,0
831,832,832,white,age.gp3,NoTr,NoTrade,NoGroup,5,0,1,3,1,0,5,0,3,2,0,5,3,2
957,958,958,black,age.gp2,Tr,NoTrade,NoGroup,8,0,3,4,1,4,4,0,4,4,0,8,5,3
1622,1623,1623,white,age.gp2,Tr,NoTrade,Group,13,0,7,5,1,1,11,1,6,7,1,12,10,3
1909,1910,1910,other,age.gp2,NoTr,NoTrade,NoGroup,7,0,1,4,2,1,6,0,4,3,0,7,3,4
2120,2121,2121,white,age.gp3,NoTr,NoTrade,Group,17,1,6,4,6,0,16,1,6,11,0,17,11,6
345,346,346,white,age.gp2,NoTr,NoTrade,Group,15,0,11,3,1,1,12,2,7,8,0,15,13,2
855,856,856,other,age.gp2,Tr,NoTrade,Group,12,0,6,4,2,0,12,0,7,5,2,10,10,2
1239,1240,1240,white,age.gp2,Tr,NoTrade,NoGroup,4,0,2,2,0,0,4,0,2,2,0,4,3,1
1729,1730,1730,white,age.gp3,Tr,NoTrade,Group,24,0,15,8,1,2,21,1,12,12,3,21,19,5
2521,2522,2522,white,age.gp2,Tr,NoTrade,Group,20,0,11,3,6,0,18,2,8,12,2,18,16,4
2666,2667,2667,white,age.gp3,NoTr,NoTrade,NoGroup,4,0,4,0,0,0,4,0,3,1,0,4,4,0
543,544,544,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
581,582,582,other,age.gp4,NoTr,NoTrade,NoGroup,2,0,1,0,1,0,2,0,1,1,0,2,2,0
945,946,946,white,age.gp3,Tr,NoTrade,Group,13,0,5,2,6,2,11,0,5,8,1,12,10,3
1319,1320,1320,white,age.gp2,NoTr,NoTrade,NoGroup,10,0,7,3,0,1,7,2,3,7,1,9,5,5
2590,2591,2591,white,age.gp3,NoTr,NoTrade,Group,13,1,6,3,3,1,11,1,8,5,1,12,8,5
2660,2661,2661,white,age.gp2,NoTr,NoTrade,Group,27,2,13,8,4,4,21,2,11,16,1,26,20,7
832,833,833,white,age.gp3,NoTr,NoTrade,NoGroup,9,0,5,4,0,0,9,0,6,3,2,7,7,2
1266,1267,1267,black,age.gp3,NoTr,NoTrade,NoGroup,7,3,2,0,2,4,2,1,2,5,0,7,3,4
1413,1414,1414,white,age.gp3,NoTr,NoTrade,Group,27,2,9,6,10,2,24,1,8,19,4,23,22,5
2508,2509,2509,black,age.gp2,NoTr,NoTrade,NoGroup,13,1,9,1,2,8,5,0,4,9,0,13,5,8
2938,2939,2939,white,age.gp4,NoTr,NoTrade,Group,7,2,2,0,3,0,7,0,2,5,0,7,6,1
839,840,840,white,age.gp2,NoTr,NoTrade,Group,19,1,13,3,2,1,17,1,12,7,1,18,12,7
872,873,873,other,age.gp2,Tr,NoTrade,Group,16,1,12,1,2,1,14,1,7,9,0,16,8,8
986,987,987,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,0,2,0,3,0,2,1,0,3,2,1
1376,1377,1377,black,age.gp2,NoTr,NoTrade,NoGroup,6,0,3,1,2,4,2,0,1,5,0,6,3,3
1805,1806,1806,white,age.gp2,Tr,NoTrade,Group,26,2,14,3,7,1,21,4,14,12,0,26,17,9
1949,1950,1950,white,age.gp4,NoTr,NoTrade,Group,11,1,2,2,6,0,10,1,2,9,1,10,9,2
2161,2162,2162,white,age.gp2,Tr,NoTrade,NoGroup,8,2,5,1,0,1,6,1,3,5,0,8,6,2
859,860,860,other,age.gp2,Tr,NoTrade,Group,8,0,3,4,1,0,8,0,3,5,0,8,6,2
1312,1313,1313,white,age.gp1,NoTr,NoTrade,NoGroup,12,5,6,0,1,0,9,3,7,5,0,12,6,6
1498,1499,1499,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
2297,2298,2298,other,age.gp2,Tr,NoTrade,Group,9,0,6,3,0,0,9,0,4,5,1,8,9,0
2529,2530,2530,white,age.gp2,NoTr,NoTrade,Group,24,3,9,5,7,2,20,2,6,18,2,22,15,9
294,295,295,black,age.gp2,NoTr,NoTrade,Group,17,2,9,3,3,6,11,0,6,11,1,16,12,5
438,439,439,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
634,635,635,other,age.gp1,NoTr,Trade,Group,9,5,2,1,1,1,8,0,3,6,1,8,6,3
1424,1425,1425,white,age.gp2,Tr,NoTrade,Group,19,1,9,4,5,2,16,1,6,13,1,18,15,4
1648,1649,1649,other,age.gp2,NoTr,NoTrade,NoGroup,5,1,2,2,0,0,5,0,2,3,1,4,2,3
2923,2924,2924,white,age.gp4,NoTr,NoTrade,Group,14,1,3,4,6,1,13,0,7,7,1,13,9,5
2935,2936,2936,white,age.gp4,NoTr,NoTrade,Group,10,0,5,1,4,1,9,0,3,7,2,8,6,4
1403,1404,1404,white,age.gp3,NoTr,NoTrade,Group,12,1,5,5,1,0,12,0,5,7,1,11,9,3
1572,1573,1573,white,age.gp4,Tr,NoTrade,Group,14,0,4,2,8,0,12,2,7,7,2,12,12,2
1591,1592,1592,white,age.gp4,Tr,NoTrade,Group,10,1,3,3,3,1,8,1,6,4,0,10,7,3
1944,1945,1945,white,age.gp4,NoTr,NoTrade,Group,17,1,5,4,7,1,16,0,10,7,1,16,14,3
2159,2160,2160,white,age.gp2,Tr,NoTrade,NoGroup,9,1,4,0,4,1,8,0,3,6,0,9,6,3
2671,2672,2672,white,age.gp3,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
2751,2752,2752,white,age.gp3,NoTr,NoTrade,NoGroup,7,3,2,0,2,1,5,1,2,5,1,6,4,3
2822,2823,2823,other,age.gp2,NoTr,NoTrade,NoGroup,7,1,2,2,2,1,6,0,4,3,2,5,6,1
840,841,841,white,age.gp2,NoTr,NoTrade,Group,24,3,12,7,2,1,20,3,13,11,3,21,19,5
912,913,913,other,age.gp1,Tr,NoTrade,NoGroup,4,1,2,0,1,1,3,0,2,2,0,4,4,0
998,999,999,white,age.gp4,NoTr,NoTrade,NoGroup,3,1,1,0,1,0,2,1,1,2,0,3,2,1
1568,1569,1569,white,age.gp4,Tr,NoTrade,Group,16,3,2,5,6,1,14,1,7,9,1,15,9,7
1643,1644,1644,other,age.gp2,NoTr,NoTrade,NoGroup,5,0,4,0,1,1,4,0,2,3,0,5,2,3
2164,2165,2165,black,age.gp2,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
239,240,240,white,age.gp2,Tr,NoTrade,Group,13,1,5,4,3,1,11,1,4,9,1,12,10,3
507,508,508,white,age.gp2,Tr,NoTrade,NoGroup,8,0,6,1,1,0,6,2,3,5,1,7,5,3
838,839,839,white,age.gp2,NoTr,NoTrade,Group,16,2,7,2,5,1,15,0,8,8,1,15,10,6
1092,1093,1093,black,age.gp1,NoTr,NoTrade,NoGroup,4,1,1,1,1,2,2,0,2,2,1,3,2,2
1299,1300,1300,white,age.gp4,NoTr,NoTrade,Group,12,1,4,2,5,2,9,1,4,8,3,9,9,3
1770,1771,1771,black,age.gp4,NoTr,NoTrade,NoGroup,7,0,2,1,4,3,4,0,3,4,0,7,3,4
1842,1843,1843,black,age.gp3,NoTr,NoTrade,NoGroup,4,1,2,1,0,2,1,1,2,2,0,4,1,3
2121,2122,2122,white,age.gp3,NoTr,NoTrade,Group,16,3,6,3,4,1,14,1,7,9,0,16,11,5
2127,2128,2128,white,age.gp3,NoTr,NoTrade,Group,11,2,2,4,3,1,9,1,4,7,2,9,7,4
2531,2532,2532,other,age.gp1,NoTr,NoTrade,NoGroup,5,2,2,1,0,1,3,1,3,2,0,5,3,2
417,418,418,white,age.gp4,NoTr,NoTrade,NoGroup,6,0,2,0,4,1,5,0,2,4,0,6,5,1
954,955,955,white,age.gp3,Tr,NoTrade,Group,14,4,1,5,4,1,13,0,6,8,1,13,9,5
1868,1869,1869,other,age.gp1,NoTr,NoTrade,Group,10,7,1,2,0,0,10,0,1,9,2,8,6,4
2595,2596,2596,white,age.gp3,NoTr,NoTrade,Group,12,1,6,5,0,0,12,0,6,6,0,12,11,1
2669,2670,2670,white,age.gp3,NoTr,NoTrade,NoGroup,3,0,3,0,0,0,2,1,2,1,0,3,1,2
1214,1215,1215,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
1428,1429,1429,white,age.gp2,Tr,NoTrade,Group,20,2,8,6,4,2,17,1,4,16,1,19,11,9
2540,2541,2541,other,age.gp1,NoTr,NoTrade,NoGroup,2,1,1,0,0,0,2,0,2,0,0,2,1,1
2574,2575,2575,white,age.gp4,NoTr,NoTrade,Group,11,0,2,3,6,0,11,0,6,5,1,10,9,2
2692,2693,2693,white,age.gp4,NoTr,NoTrade,Group,15,1,5,2,7,3,9,3,3,12,3,12,9,6
2814,2815,2815,other,age.gp2,NoTr,NoTrade,NoGroup,5,0,2,0,3,0,5,0,2,3,0,5,3,2
2883,2884,2884,white,age.gp1,NoTr,NoTrade,Group,26,14,6,3,3,1,20,5,6,20,1,25,15,11
2945,2946,2946,white,age.gp4,NoTr,NoTrade,Group,13,0,6,3,4,1,10,2,8,5,2,11,12,1
1326,1327,1327,white,age.gp3,NoTr,NoTrade,NoGroup,8,1,5,0,2,0,8,0,5,3,0,8,5,3
2153,2154,2154,other,age.gp2,NoTr,NoTrade,NoGroup,5,0,3,0,2,0,5,0,4,1,0,5,3,2
2320,2321,2321,white,age.gp1,NoTr,NoTrade,NoGroup,11,8,2,0,1,2,6,3,3,8,3,8,5,6
2328,2329,2329,white,age.gp3,Tr,NoTrade,Group,18,2,5,7,4,2,15,1,7,11,1,17,13,5
698,699,699,white,age.gp4,Tr,NoTrade,Group,11,0,2,3,6,0,10,1,6,5,1,10,9,2
844,845,845,white,age.gp2,Tr,NoTrade,NoGroup,11,1,3,3,4,1,9,1,2,9,2,9,7,4
1061,1062,1062,white,age.gp4,NoTr,NoTrade,Group,14,1,4,2,7,2,9,3,4,10,0,14,8,6
1904,1905,1905,black,age.gp1,NoTr,NoTrade,NoGroup,12,7,3,0,2,1,8,3,4,8,2,10,7,5
2021,2022,2022,black,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,0,3,0,4,0,2,2,0,4,4,0
2413,2414,2414,white,age.gp3,NoTr,Trade,Group,16,2,5,6,3,1,15,0,7,9,1,15,11,5
2545,2546,2546,other,age.gp1,NoTr,NoTrade,NoGroup,3,1,1,0,1,0,3,0,1,2,0,3,1,2
2616,2617,2617,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,2,3,2,0,7,0,3,4,1,6,6,1
269,270,270,white,age.gp4,NoTr,NoTrade,NoGroup,6,0,1,2,3,0,6,0,2,4,0,6,4,2
1170,1171,1171,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
1255,1256,1256,white,age.gp1,Tr,Trade,Group,15,7,4,2,2,1,12,2,7,8,2,13,9,6
1307,1308,1308,white,age.gp2,Tr,NoTrade,NoGroup,15,1,8,3,3,2,12,1,6,9,2,13,11,4
1543,1544,1544,white,age.gp2,NoTr,NoTrade,NoGroup,14,3,6,4,1,4,9,1,8,6,2,12,9,5
2308,2309,2309,white,age.gp2,NoTr,NoTrade,NoGroup,13,0,8,3,2,1,12,0,4,9,2,11,12,1
2750,2751,2751,white,age.gp3,NoTr,NoTrade,NoGroup,4,0,3,0,1,1,3,0,3,1,0,4,3,1
2767,2768,2768,white,age.gp1,NoTr,NoTrade,NoGroup,10,4,1,1,4,1,8,1,4,6,0,10,5,5
2795,2796,2796,white,age.gp2,Tr,NoTrade,NoGroup,9,1,6,1,1,0,9,0,6,3,1,8,8,1
469,470,470,black,age.gp3,NoTr,Trade,Group,9,2,3,0,4,5,2,2,3,6,3,6,5,4
940,941,941,white,age.gp3,NoTr,NoTrade,NoGroup,8,1,3,2,2,0,8,0,5,3,0,8,6,2
1096,1097,1097,white,age.gp2,NoTr,NoTrade,Group,22,2,13,4,3,2,18,2,13,9,4,18,16,6
1840,1841,1841,black,age.gp3,NoTr,NoTrade,NoGroup,5,1,2,0,2,2,3,0,2,3,2,3,5,0
2133,2134,2134,other,age.gp2,NoTr,NoTrade,NoGroup,5,1,2,0,2,0,5,0,2,3,1,4,3,2
2694,2695,2695,white,age.gp4,NoTr,NoTrade,Group,9,1,1,1,6,1,8,0,3,6,0,9,4,5
2737,2738,2738,white,age.gp2,Tr,NoTrade,Group,18,1,11,4,2,2,14,2,8,10,0,18,11,7
2912,2913,2913,other,age.gp1,NoTr,NoTrade,NoGroup,4,3,1,0,0,0,4,0,1,3,1,3,1,3
632,633,633,other,age.gp1,NoTr,Trade,Group,7,1,3,3,0,1,6,0,1,6,2,5,6,1
987,988,988,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,2,2,3,0,6,1,2,5,0,7,4,3
1020,1021,1021,white,age.gp2,NoTr,Trade,Group,20,4,7,6,3,2,16,2,8,12,2,18,12,8
1287,1288,1288,white,age.gp4,NoTr,NoTrade,Group,10,1,2,1,6,0,10,0,5,5,1,9,8,2
1701,1702,1702,white,age.gp4,NoTr,Trade,NoGroup,4,0,3,0,1,0,4,0,3,1,0,4,4,0
1935,1936,1936,white,age.gp4,NoTr,NoTrade,Group,11,1,3,1,6,1,9,1,5,6,2,9,9,2
2632,2633,2633,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,0,3,0,4,0,1,3,0,4,3,1
2898,2899,2899,other,age.gp1,NoTr,NoTrade,NoGroup,5,3,1,0,1,1,4,0,1,4,1,4,3,2
636,637,637,other,age.gp1,NoTr,Trade,Group,8,4,1,0,3,1,7,0,2,6,0,8,3,5
1328,1329,1329,white,age.gp3,NoTr,NoTrade,NoGroup,10,1,4,3,2,1,8,1,4,6,1,9,8,2
1438,1439,1439,white,age.gp3,Tr,NoTrade,NoGroup,6,0,3,1,2,2,4,0,2,4,0,6,4,2
1915,1916,1916,other,age.gp2,NoTr,NoTrade,NoGroup,3,0,3,0,0,0,3,0,3,0,0,3,3,0
2151,2152,2152,other,age.gp2,NoTr,NoTrade,NoGroup,4,0,3,0,1,0,4,0,3,1,0,4,3,1
915,916,916,other,age.gp1,Tr,NoTrade,NoGroup,2,0,2,0,0,0,2,0,1,1,0,2,2,0
925,926,926,white,age.gp2,NoTr,NoTrade,NoGroup,13,1,8,4,0,1,10,2,7,6,1,12,9,4
1532,1533,1533,black,age.gp4,NoTr,NoTrade,NoGroup,5,0,3,0,2,0,3,2,2,3,0,5,3,2
1752,1753,1753,black,age.gp4,NoTr,NoTrade,NoGroup,5,0,2,0,3,1,4,0,2,3,0,5,4,1
1861,1862,1862,white,age.gp3,NoTr,NoTrade,Group,16,2,5,3,6,2,13,1,6,10,0,16,11,5
2299,2300,2300,other,age.gp2,Tr,NoTrade,Group,12,2,6,1,3,3,9,0,7,5,1,11,8,4
2947,2948,2948,white,age.gp4,NoTr,NoTrade,Group,16,2,4,3,7,2,11,3,8,8,1,15,10,6
248,249,249,white,age.gp4,NoTr,NoTrade,NoGroup,2,0,1,1,0,0,2,0,1,1,0,2,2,0
249,250,250,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,1,2,0,4,0,2,2,0,4,4,0
1410,1411,1411,white,age.gp3,NoTr,NoTrade,Group,13,2,6,2,3,1,10,2,5,8,1,12,8,5
250,251,251,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,0,1,0,1,0,0,1,0,1,1,0
2691,2692,2692,white,age.gp4,NoTr,NoTrade,Group,16,2,0,2,12,1,14,1,3,13,2,14,6,10
251,252,252,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
252,253,253,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,0,1,0,1,0,1,0,0,1,1,0
2258,2259,2259,white,age.gp4,Tr,NoTrade,Group,10,1,0,2,7,0,10,0,2,8,0,10,6,4
253,254,254,white,age.gp4,NoTr,NoTrade,NoGroup,2,0,0,0,2,0,2,0,1,1,0,2,2,0
302,303,303,white,age.gp4,NoTr,NoTrade,Group,13,1,2,3,7,1,10,2,2,11,1,12,7,6
254,255,255,white,age.gp4,NoTr,NoTrade,NoGroup,2,0,2,0,0,0,2,0,2,0,0,2,1,1
1806,1807,1807,white,age.gp2,Tr,NoTrade,Group,17,0,7,5,5,1,14,2,2,15,1,16,10,7
1081,1082,1082,white,age.gp4,NoTr,NoTrade,Group,10,2,2,2,4,1,8,1,4,6,1,9,7,3
256,257,257,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,1,0,1,0,0,0,1,0,1,0,1
258,259,259,white,age.gp4,NoTr,NoTrade,NoGroup,2,0,1,0,1,1,1,0,0,2,0,2,1,1
690,691,691,white,age.gp4,Tr,NoTrade,Group,9,0,0,3,6,0,9,0,0,9,1,8,6,3
1244,1245,1245,white,age.gp1,NoTr,NoTrade,NoGroup,15,11,1,0,3,0,10,5,4,11,0,15,3,12
1961,1962,1962,white,age.gp4,NoTr,NoTrade,Group,7,0,0,1,6,0,7,0,1,6,1,6,5,2
260,261,261,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,1,2,2,1,4,0,1,4,0,5,4,1
1405,1406,1406,white,age.gp3,NoTr,NoTrade,Group,16,4,7,3,2,2,11,3,6,10,2,14,9,7
2095,2096,2096,black,age.gp3,NoTr,NoTrade,NoGroup,6,2,0,1,3,4,2,0,0,6,0,6,0,6
261,262,262,white,age.gp4,NoTr,NoTrade,NoGroup,7,0,4,0,3,0,6,1,4,3,1,6,5,2
565,566,566,other,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,0,3,0,4,0,2,2,0,4,3,1
262,263,263,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,1,1,0,2,1,1,2,0,3,2,1
1144,1145,1145,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,0,2,1,1,1,0,3,0,3,0,3
263,264,264,white,age.gp4,NoTr,NoTrade,NoGroup,1,1,0,0,0,1,0,0,0,1,0,1,0,1
266,267,267,white,age.gp4,NoTr,NoTrade,NoGroup,8,1,0,1,6,1,6,1,3,5,0,8,6,2
888,889,889,other,age.gp1,Tr,NoTrade,NoGroup,4,2,1,0,1,0,4,0,1,3,0,4,2,2
1515,1516,1516,black,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,1,2,3,1,0,0,4,0,4,1,3
2580,2581,2581,white,age.gp4,NoTr,NoTrade,Group,10,1,4,0,5,1,9,0,4,6,1,9,6,4
2950,2951,2951,white,age.gp4,NoTr,NoTrade,Group,10,1,0,4,5,0,10,0,4,6,1,9,6,4
267,268,268,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,0,1,0,1,0,0,1,0,1,0,1
2428,2429,2429,white,age.gp4,NoTr,NoTrade,NoGroup,6,0,1,0,5,0,5,1,2,4,0,6,4,2
268,269,269,white,age.gp4,NoTr,NoTrade,NoGroup,2,0,2,0,0,0,1,1,1,1,0,2,1,1
971,972,972,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,1,1,3,0,5,0,1,4,0,5,2,3
2175,2176,2176,white,age.gp4,NoTr,NoTrade,NoGroup,10,1,2,2,5,1,8,1,4,6,1,9,6,4
270,271,271,white,age.gp4,NoTr,NoTrade,NoGroup,4,0,1,1,2,0,4,0,3,1,0,4,3,1
439,440,440,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,0,2,3,0,5,0,0,5,1,4,1,4
271,272,272,white,age.gp4,NoTr,NoTrade,NoGroup,3,1,0,1,1,1,2,0,0,3,0,3,2,1
272,273,273,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,0,1,1,0,0,0,1,0,1,0,1
2019,2020,2020,black,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,0,2,2,1,0,0,3,0,3,1,2
273,274,274,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,0,1,0,1,0,1
1318,1319,1319,white,age.gp2,NoTr,NoTrade,NoGroup,12,0,4,4,4,1,11,0,5,7,0,12,6,6
274,275,275,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,0,3,1,2,0,1,2,0,3,1,2
499,500,500,black,age.gp4,NoTr,NoTrade,NoGroup,5,1,0,1,3,3,2,0,0,5,0,5,0,5
275,276,276,white,age.gp4,NoTr,NoTrade,NoGroup,8,1,2,3,2,0,6,2,4,4,0,8,4,4
821,822,822,white,age.gp3,NoTr,NoTrade,NoGroup,9,1,6,0,2,1,7,1,1,8,0,9,5,4
1592,1593,1593,white,age.gp4,Tr,NoTrade,Group,10,1,1,1,7,0,9,1,3,7,0,10,6,4
1794,1795,1795,white,age.gp4,Tr,NoTrade,Group,10,0,0,2,8,0,10,0,2,8,0,10,6,4
1925,1926,1926,other,age.gp2,NoTr,NoTrade,NoGroup,6,0,4,1,1,0,6,0,4,2,0,6,5,1
2398,2399,2399,white,age.gp3,NoTr,NoTrade,NoGroup,9,0,1,5,3,1,8,0,2,7,0,9,5,4
276,277,277,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,0,1,0,1,1,0
455,456,456,black,age.gp3,NoTr,NoTrade,NoGroup,5,0,1,2,2,1,4,0,2,3,0,5,3,2
278,279,279,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,0,1,2,0,3,0,0,3,0,3,2,1
775,776,776,white,age.gp4,NoTr,NoTrade,NoGroup,5,0,1,1,3,1,4,0,1,4,0,5,3,2
1558,1559,1559,white,age.gp3,NoTr,NoTrade,Group,14,0,3,6,5,1,11,2,6,8,0,14,8,6
1938,1939,1939,white,age.gp4,NoTr,NoTrade,Group,9,0,2,1,6,1,8,0,1,8,1,8,8,1
279,280,280,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,0,1,0,0,1,0,0,1,0,1,0,1
822,823,823,white,age.gp3,NoTr,NoTrade,NoGroup,10,2,2,3,3,2,7,1,3,7,0,10,4,6
1329,1330,1330,white,age.gp3,NoTr,NoTrade,NoGroup,6,0,3,2,1,0,5,1,2,4,1,5,4,2
1683,1684,1684,white,age.gp4,NoTr,Trade,NoGroup,6,0,3,1,2,0,6,0,4,2,0,6,4,2
2367,2368,2368,black,age.gp2,Tr,NoTrade,Group,19,3,5,7,4,11,8,0,5,14,1,18,7,12
2837,2838,2838,black,age.gp2,NoTr,NoTrade,NoGroup,6,1,2,2,1,3,3,0,1,5,0,6,3,3
2936,2937,2937,white,age.gp4,NoTr,NoTrade,Group,6,0,3,1,2,0,6,0,5,1,0,6,5,1
1672,1673,1673,white,age.gp2,Tr,NoTrade,NoGroup,10,0,7,2,1,1,9,0,3,7,1,9,6,4
2304,2305,2305,other,age.gp2,Tr,NoTrade,Group,14,1,7,5,1,0,14,0,7,7,0,14,10,4
2662,2663,2663,white,age.gp3,NoTr,NoTrade,NoGroup,6,2,2,1,1,1,5,0,3,3,0,6,3,3
770,771,771,white,age.gp4,NoTr,NoTrade,NoGroup,3,0,1,0,2,0,3,0,2,1,0,3,3,0
933,934,934,white,age.gp3,NoTr,NoTrade,NoGroup,6,1,2,1,2,0,6,0,4,2,0,6,4,2
1661,1662,1662,other,age.gp2,NoTr,NoTrade,NoGroup,7,0,2,2,3,2,5,0,1,6,1,6,5,2
1865,1866,1866,white,age.gp3,NoTr,NoTrade,Group,19,5,9,2,3,3,15,1,10,9,2,17,12,7
2748,2749,2749,white,age.gp3,NoTr,NoTrade,NoGroup,5,2,3,0,0,0,4,1,3,2,0,5,4,1
477,478,478,black,age.gp4,NoTr,NoTrade,NoGroup,2,0,1,0,1,1,1,0,1,1,0,2,1,1
852,853,853,other,age.gp2,Tr,NoTrade,Group,9,1,2,4,2,1,8,0,2,7,0,9,7,2
980,981,981,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
1922,1923,1923,other,age.gp2,NoTr,NoTrade,NoGroup,5,0,2,2,1,1,4,0,2,3,1,4,5,0
2274,2275,2275,black,age.gp2,Tr,Trade,Group,18,1,9,5,3,10,8,0,4,14,2,16,8,10
2434,2435,2435,white,age.gp4,NoTr,NoTrade,NoGroup,1,0,1,0,0,0,1,0,1,0,0,1,1,0
2685,2686,2686,black,age.gp3,NoTr,NoTrade,NoGroup,6,2,3,1,0,4,2,0,1,5,0,6,2,4
788,789,789,black,age.gp1,Tr,NoTrade,NoGroup,15,4,3,6,2,5,8,2,3,12,2,13,12,3
2134,2135,2135,other,age.gp2,NoTr,NoTrade,NoGroup,5,0,3,2,0,1,4,0,2,3,0,5,4,1
2867,2868,2868,white,age.gp2,Tr,NoTrade,Group,23,3,9,6,5,2,19,2,9,14,0,23,13,10
2937,2938,2938,white,age.gp4,NoTr,NoTrade,Group,5,0,2,0,3,1,4,0,1,4,1,4,3,2
1011,1012,1012,white,age.gp1,Tr,NoTrade,NoGroup,12,6,2,2,2,0,10,2,3,9,1,11,7,5
1084,1085,1085,white,age.gp4,NoTr,NoTrade,Group,13,1,0,3,9,0,13,0,4,9,2,11,8,5
648,649,649,other,age.gp1,NoTr,Trade,Group,6,5,0,1,0,0,6,0,3,3,0,6,2,4
1881,1882,1882,other,age.gp1,NoTr,NoTrade,Group,11,6,1,3,1,3,8,0,2,9,1,10,4,7
2382,2383,2383,white,age.gp1,NoTr,NoTrade,NoGroup,10,8,1,0,1,0,9,1,3,7,3,7,3,7
287,288,288,white,age.gp1,NoTr,NoTrade,NoGroup,9,5,1,2,1,2,5,2,3,6,0,9,5,4
1850,1851,1851,black,age.gp3,NoTr,NoTrade,NoGroup,7,1,1,2,3,3,4,0,1,6,1,6,4,3
1905,1906,1906,black,age.gp1,NoTr,NoTrade,NoGroup,9,3,1,4,1,6,2,1,2,7,1,8,2,7
2056,2057,2057,white,age.gp4,Tr,NoTrade,Group,9,2,2,0,5,0,8,1,4,5,0,9,4,5
643,644,644,other,age.gp1,NoTr,Trade,Group,6,4,1,1,0,2,4,0,2,4,0,6,2,4
785,786,786,black,age.gp1,Tr,NoTrade,NoGroup,11,4,0,7,0,7,3,1,1,10,1,10,1,10
1306,1307,1307,white,age.gp2,Tr,NoTrade,NoGroup,7,2,4,0,1,3,3,1,2,5,2,5,3,4
289,290,290,white,age.gp1,NoTr,NoTrade,NoGroup,17,12,2,1,2,2,11,4,1,16,1,16,10,7
958,959,959,black,age.gp2,Tr,NoTrade,NoGroup,11,1,7,1,2,5,6,0,3,8,0,11,4,7
