"","X","Unnamed..0","node","ethcat","agecat","treat","Trade_sex","Group_sex","degree","age.gp1","age.gp2","age.gp3","age.gp4","black","white","other","Tr","NoTr","Trade","NoTrade","Group","NoGroup","net"
"5085",451,452,452,"black","age.gp3","NoTr","NoTrade","NoGroup",5,0,1,1,3,4,1,0,0,5,0,5,2,3,2
"5086",552,553,553,"white","age.gp4","NoTr","NoTrade","NoGroup",6,1,1,4,0,1,5,0,1,5,1,5,2,4,2
"5087",1528,1529,1529,"black","age.gp4","NoTr","NoTrade","NoGroup",4,1,0,1,2,2,2,0,1,3,1,3,2,2,2
"5088",2688,2689,2689,"black","age.gp3","NoTr","NoTrade","NoGroup",5,0,2,3,0,2,3,0,0,5,1,4,2,3,2
"5089",2302,2303,2303,"other","age.gp2","Tr","NoTrade","Group",9,1,3,4,1,2,7,0,5,4,0,9,6,3,2
"5090",1224,1225,1225,"white","age.gp4","NoTr","NoTrade","NoGroup",8,0,3,2,3,3,4,1,1,7,0,8,5,3,2
"5091",1366,1367,1367,"black","age.gp4","NoTr","NoTrade","Group",13,0,3,4,6,8,5,0,2,11,2,11,7,6,2
"5092",1732,1733,1733,"white","age.gp3","Tr","NoTrade","Group",23,0,10,8,5,3,18,2,8,15,2,21,15,8,2
"5093",1460,1461,1461,"white","age.gp1","NoTr","NoTrade","NoGroup",10,4,2,3,1,0,9,1,4,6,1,9,5,5,2
"5094",1470,1471,1471,"white","age.gp1","NoTr","NoTrade","NoGroup",7,4,2,1,0,1,4,2,1,6,2,5,4,3,2
"5095",1712,1713,1713,"white","age.gp1","Tr","NoTrade","NoGroup",12,7,3,1,1,0,8,4,4,8,1,11,9,3,2
"5096",2498,2499,2499,"other","age.gp1","NoTr","NoTrade","NoGroup",3,2,0,0,1,0,3,0,0,3,0,3,1,2,2
"5097",2859,2860,2860,"white","age.gp1","Tr","NoTrade","NoGroup",15,9,2,3,1,2,9,4,8,7,1,14,3,12,2
"5098",789,790,790,"white","age.gp4","NoTr","NoTrade","NoGroup",5,1,1,1,2,0,4,1,3,2,0,5,3,2,2
"5099",892,893,893,"other","age.gp1","Tr","NoTrade","NoGroup",2,2,0,0,0,0,2,0,0,2,0,2,0,2,2
"5100",1117,1118,1118,"other","age.gp1","NoTr","NoTrade","NoGroup",3,1,0,2,0,0,3,0,1,2,0,3,1,2,2
"5101",1440,1441,1441,"white","age.gp3","Tr","NoTrade","NoGroup",9,2,4,3,0,2,5,2,1,8,0,9,3,6,2
"5102",1636,1637,1637,"black","age.gp1","Tr","NoTrade","NoGroup",15,6,5,1,3,4,7,4,5,10,2,13,9,6,2
"5103",2359,2360,2360,"white","age.gp3","Tr","NoTrade","NoGroup",9,2,2,3,2,0,9,0,1,8,0,9,6,3,2
"5104",633,634,634,"other","age.gp1","NoTr","Trade","Group",4,3,1,0,0,1,3,0,0,4,0,4,2,2,2
"5105",918,919,919,"white","age.gp1","NoTr","Trade","NoGroup",13,5,2,6,0,1,11,1,2,11,3,10,9,4,2
"5106",1126,1127,1127,"other","age.gp1","NoTr","NoTrade","NoGroup",3,2,1,0,0,0,3,0,1,2,0,3,2,1,2
"5107",1473,1474,1474,"white","age.gp1","NoTr","NoTrade","NoGroup",12,6,4,1,1,2,6,4,3,9,1,11,5,7,2
"5108",2481,2482,2482,"other","age.gp1","NoTr","NoTrade","NoGroup",4,2,1,1,0,1,3,0,1,3,0,4,2,2,2
"5109",1578,1579,1579,"white","age.gp4","Tr","NoTrade","Group",13,0,1,3,9,2,11,0,8,5,1,12,10,3,2
"5110",1761,1762,1762,"black","age.gp4","NoTr","NoTrade","NoGroup",6,1,2,1,2,6,0,0,1,5,2,4,2,4,2
"5111",1778,1779,1779,"white","age.gp4","Tr","NoTrade","Group",9,1,2,1,5,1,6,2,6,3,1,8,7,2,2
"5112",739,740,740,"black","age.gp4","NoTr","NoTrade","NoGroup",3,0,0,1,2,3,0,0,0,3,1,2,2,1,2
"5113",959,960,960,"black","age.gp2","Tr","NoTrade","NoGroup",6,1,1,4,0,3,2,1,2,4,2,4,4,2,2
"5114",2150,2151,2151,"other","age.gp2","NoTr","NoTrade","NoGroup",3,0,1,1,1,1,2,0,1,2,1,2,3,0,2
"5115",2909,2910,2910,"other","age.gp1","NoTr","NoTrade","NoGroup",7,2,2,2,1,2,5,0,2,5,3,4,5,2,2
"5116",642,643,643,"other","age.gp1","NoTr","Trade","Group",6,4,0,2,0,1,5,0,1,5,2,4,3,3,2
"5117",1369,1370,1370,"black","age.gp4","NoTr","NoTrade","Group",6,0,1,2,3,2,4,0,1,5,1,5,4,2,2
"5118",718,719,719,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,1,0,1,0,2
"5119",829,830,830,"white","age.gp3","NoTr","NoTrade","NoGroup",4,0,1,1,2,1,2,1,2,2,1,3,3,1,2
"5120",908,909,909,"other","age.gp1","Tr","NoTrade","NoGroup",5,3,0,2,0,2,3,0,0,5,1,4,2,3,2
"5121",1846,1847,1847,"black","age.gp3","NoTr","NoTrade","NoGroup",9,1,2,4,2,6,3,0,3,6,1,8,5,4,2
"5122",1112,1113,1113,"other","age.gp1","NoTr","NoTrade","NoGroup",4,2,0,1,1,3,1,0,1,3,1,3,1,3,2
"5123",1089,1090,1090,"black","age.gp2","Tr","NoTrade","NoGroup",11,2,5,2,2,8,2,1,3,8,1,10,3,8,2
"5124",2168,2169,2169,"black","age.gp2","NoTr","NoTrade","NoGroup",8,0,4,3,1,4,4,0,3,5,3,5,6,2,2
"5125",600,601,601,"other","age.gp4","NoTr","NoTrade","NoGroup",6,1,2,3,0,2,4,0,2,4,2,4,4,2,2
"5126",2280,2281,2281,"other","age.gp2","Tr","NoTrade","Group",10,1,4,5,0,1,9,0,2,8,1,9,8,2,2
"5127",2396,2397,2397,"white","age.gp3","NoTr","NoTrade","NoGroup",8,0,1,5,2,3,5,0,2,6,2,6,7,1,2
"5128",2459,2460,2460,"black","age.gp1","NoTr","NoTrade","NoGroup",10,3,3,2,2,4,4,2,1,9,3,7,4,6,2
"5129",1085,1086,1086,"black","age.gp2","Tr","NoTrade","NoGroup",10,2,3,2,3,5,4,1,1,9,2,8,7,3,2
"5130",1557,1558,1558,"white","age.gp3","NoTr","NoTrade","Group",21,1,5,6,9,4,16,1,6,15,1,20,13,8,2
"5131",2775,2776,2776,"white","age.gp3","NoTr","NoTrade","Group",18,1,7,8,2,3,15,0,4,14,1,17,14,4,2
"5132",1122,1123,1123,"other","age.gp1","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,1,0,1,0,2
"5133",519,520,520,"black","age.gp3","NoTr","NoTrade","NoGroup",5,1,2,2,0,3,2,0,1,4,1,4,3,2,2
"5134",2100,2101,2101,"black","age.gp3","NoTr","NoTrade","NoGroup",3,1,1,1,0,3,0,0,0,3,1,2,2,1,2
"5135",476,477,477,"black","age.gp3","NoTr","Trade","Group",12,1,4,4,3,6,4,2,2,10,0,12,5,7,2
"5136",513,514,514,"black","age.gp3","NoTr","NoTrade","NoGroup",6,1,0,2,3,4,2,0,2,4,1,5,3,3,2
"5137",791,792,792,"white","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,3,1,1,4,0,3,2,1,4,3,2,2
"5138",1351,1352,1352,"black","age.gp4","NoTr","NoTrade","Group",5,1,1,2,1,2,2,1,1,4,2,3,4,1,2
"5139",2736,2737,2737,"black","age.gp3","NoTr","NoTrade","NoGroup",7,1,2,3,1,4,2,1,2,5,1,6,4,3,2
"5140",478,479,479,"black","age.gp4","NoTr","NoTrade","NoGroup",4,1,0,1,2,3,0,1,0,4,0,4,2,2,2
"5141",1359,1360,1360,"black","age.gp4","NoTr","NoTrade","Group",15,0,5,2,8,7,8,0,2,13,3,12,10,5,2
"5142",1829,1830,1830,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1,2
"5143",1890,1891,1891,"other","age.gp1","NoTr","NoTrade","Group",8,4,0,1,3,2,6,0,3,5,0,8,2,6,2
"5144",2099,2100,2100,"black","age.gp3","NoTr","NoTrade","NoGroup",5,0,1,2,2,2,3,0,2,3,1,4,3,2,2
"5145",1356,1357,1357,"black","age.gp4","NoTr","NoTrade","Group",12,0,5,2,5,7,4,1,5,7,3,9,10,2,2
"5146",2220,2221,2221,"black","age.gp4","NoTr","Trade","Group",7,0,2,0,5,3,3,1,2,5,0,7,3,4,2
"5147",481,482,482,"black","age.gp4","NoTr","NoTrade","NoGroup",1,1,0,0,0,1,0,0,0,1,0,1,0,1,2
"5148",1901,1902,1902,"black","age.gp1","NoTr","NoTrade","NoGroup",8,6,0,1,1,4,1,3,1,7,1,7,3,5,2
"5149",482,483,483,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,1,0,2
"5150",1412,1413,1413,"white","age.gp3","NoTr","NoTrade","Group",19,4,4,5,6,1,16,2,4,15,2,17,13,6,2
"5151",486,487,487,"black","age.gp4","NoTr","NoTrade","NoGroup",2,1,0,1,0,1,1,0,1,1,0,2,1,1,2
"5152",1475,1476,1476,"black","age.gp1","NoTr","NoTrade","NoGroup",8,3,2,0,3,4,2,2,2,6,2,6,3,5,2
"5153",487,488,488,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,1,0,0,1,1,0,2
"5154",488,489,489,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,1,0,0,1,0,0,0,1,0,1,0,1,2
"5155",489,490,490,"black","age.gp4","NoTr","NoTrade","NoGroup",5,0,1,0,4,1,4,0,3,2,1,4,4,1,2
"5156",1835,1836,1836,"black","age.gp4","NoTr","NoTrade","NoGroup",3,0,1,0,2,1,2,0,1,2,0,3,2,1,2
"5157",2048,2049,2049,"white","age.gp4","Tr","NoTrade","Group",10,1,2,2,5,2,8,0,4,6,1,9,4,6,2
"5158",490,491,491,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1,2
"5159",1745,1746,1746,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1,2
"5160",492,493,493,"black","age.gp4","NoTr","NoTrade","NoGroup",5,3,1,0,1,3,2,0,3,2,3,2,4,1,2
"5161",1666,1667,1667,"black","age.gp1","Tr","Trade","Group",14,6,2,2,4,8,4,2,3,11,2,12,8,6,2
"5162",2587,2588,2588,"white","age.gp4","NoTr","NoTrade","Group",7,1,0,2,4,2,4,1,2,5,0,7,4,3,2
"5163",494,495,495,"black","age.gp4","NoTr","NoTrade","NoGroup",2,0,0,1,1,0,2,0,2,0,0,2,2,0,2
"5164",495,496,496,"black","age.gp4","NoTr","NoTrade","NoGroup",1,1,0,0,0,1,0,0,0,1,0,1,0,1,2
"5165",496,497,497,"black","age.gp4","NoTr","NoTrade","NoGroup",6,0,1,0,5,2,4,0,2,4,1,5,5,1,2
"5166",1838,1839,1839,"black","age.gp4","NoTr","NoTrade","NoGroup",3,0,1,1,1,1,2,0,1,2,0,3,2,1,2
"5167",2222,2223,2223,"black","age.gp4","NoTr","Trade","Group",5,0,0,1,4,2,3,0,0,5,1,4,1,4,2
"5168",497,498,498,"black","age.gp4","NoTr","NoTrade","NoGroup",2,1,1,0,0,1,1,0,0,2,0,2,0,2,2
"5169",498,499,499,"black","age.gp4","NoTr","NoTrade","NoGroup",5,2,2,0,1,1,2,2,0,5,0,5,1,4,2
"5170",614,615,615,"other","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1,2
"5171",732,733,733,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1,2
"5172",500,501,501,"black","age.gp4","NoTr","NoTrade","NoGroup",4,0,2,0,2,2,2,0,1,3,0,4,1,3,2
"5173",1750,1751,1751,"black","age.gp4","NoTr","NoTrade","NoGroup",3,1,0,0,2,2,1,0,0,3,0,3,2,1,2
"5174",501,502,502,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,1,0,1,0,0,0,1,0,1,0,1,2
"5175",2096,2097,2097,"black","age.gp3","NoTr","NoTrade","NoGroup",8,1,2,2,3,5,2,1,1,7,1,7,3,5,2
"5176",502,503,503,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,1,0,0,0,1,0,1,0,1,2
"5177",1999,2000,2000,"black","age.gp4","NoTr","NoTrade","NoGroup",4,0,0,0,4,1,3,0,2,2,0,4,1,3,2
"5178",2234,2235,2235,"black","age.gp4","NoTr","Trade","Group",9,1,3,1,4,6,3,0,5,4,0,9,4,5,2
"5179",738,739,739,"black","age.gp4","NoTr","NoTrade","NoGroup",2,0,1,0,1,2,0,0,0,2,0,2,1,1,2
"5180",2726,2727,2727,"black","age.gp3","NoTr","NoTrade","NoGroup",6,1,1,1,3,4,1,1,2,4,1,5,3,3,2
"5181",506,507,507,"black","age.gp4","NoTr","NoTrade","NoGroup",1,0,0,0,1,0,1,0,0,1,0,1,0,1,2
"5182",2139,2140,2140,"other","age.gp2","NoTr","NoTrade","NoGroup",6,0,2,2,2,0,6,0,4,2,0,6,4,2,2
"5183",508,509,509,"white","age.gp2","Tr","NoTrade","NoGroup",12,3,4,3,2,0,11,1,2,10,0,12,6,6,2
